source,target,rho,abs_rho
V07,V08,0.6515259709690223,0.6515259709690223
V08,V10,0.6334183060921685,0.6334183060921685
V05,V07,0.5908880260888156,0.5908880260888156
V10,V12,0.5654151358211258,0.5654151358211258
V09,V13,0.5626914383514261,0.5626914383514261
V13,V14,0.5594334505093526,0.5594334505093526
E14,E15,0.555197096230678,0.555197096230678
T10,S05,0.5474598884899124,0.5474598884899124
V08,V12,0.5385480126966031,0.5385480126966031
E07,E10,0.525911944424929,0.525911944424929
S09,S14,0.5176951456469693,0.5176951456469693
V05,V06,0.5158684543418053,0.5158684543418053
S13,V10,0.5152574875661995,0.5152574875661995
S11,V06,0.4998544056809194,0.4998544056809194
S06,S09,0.4988351216888095,0.4988351216888095
V07,V09,0.4953206890620732,0.4953206890620732
V07,V13,0.4931461467844642,0.4931461467844642
V07,V12,0.4905984156602722,0.4905984156602722
T12,T13,0.48997597901486206,0.48997597901486206
E07,V07,0.48760510419883396,0.48760510419883396
S07,S09,0.4861525401536585,0.4861525401536585
T11,S14,0.48499676835860434,0.48499676835860434
S09,S11,0.48374575749062354,0.48374575749062354
V06,V07,0.48363073100431553,0.48363073100431553
T02,E12,0.48239020589492604,0.48239020589492604
S01,S03,0.47817021015290884,0.47817021015290884
S09,V03,0.47647759001743684,0.47647759001743684
V05,V15,0.4732645111885172,0.4732645111885172
V03,V10,0.47300625936678614,0.47300625936678614
S14,V13,0.47204880799938137,0.47204880799938137
S14,V09,0.47043608801723213,0.47043608801723213
S15,V12,0.470255703655987,0.470255703655987
V06,V12,0.46775988624294723,0.46775988624294723
S13,S14,0.4646918985374182,0.4646918985374182
E07,E12,0.46409231580125415,0.46409231580125415
V07,V14,0.4630615129082052,0.4630615129082052
V01,V02,0.45932977282356985,0.45932977282356985
S06,V10,0.45610814374352643,0.45610814374352643
V08,V13,0.45488329123620697,0.45488329123620697
S09,S13,0.45415288964744654,0.45415288964744654
V07,V15,0.45285597607034195,0.45285597607034195
S06,V08,0.45205743487354405,0.45205743487354405
E11,S11,0.4509917996132394,0.4509917996132394
S14,S15,0.44855568126855494,0.44855568126855494
S01,S14,0.4480971050379556,0.4480971050379556
E07,V08,0.4473447977192373,0.4473447977192373
T10,T12,0.44633003950968014,0.44633003950968014
V06,V15,0.4445654043574991,0.4445654043574991
V03,V04,0.44354878109244567,0.44354878109244567
V03,V12,0.4426825978389813,0.4426825978389813
S13,V03,0.43808214078385427,0.43808214078385427
V11,V14,0.43722011048232223,0.43722011048232223
V04,V06,0.43649743042558975,0.43649743042558975
S09,V14,0.4333746216512559,0.4333746216512559
V07,V10,0.4332527208864366,0.4332527208864366
S02,S04,0.43196499361420093,0.43196499361420093
E05,E06,0.4307626555182332,0.4307626555182332
S02,V10,0.42838213997627117,0.42838213997627117
V01,V13,0.4280034541319729,0.4280034541319729
E11,V09,0.4257169291997031,0.4257169291997031
V12,V14,0.4250557968397263,0.4250557968397263
S09,V09,0.4240851288402717,0.4240851288402717
T12,S13,0.4237249549280872,0.4237249549280872
V08,V14,0.4235015177216976,0.4235015177216976
S09,S15,0.42341188670490654,0.42341188670490654
S02,S15,0.423323299799949,0.423323299799949
V04,V08,0.42284305980559245,0.42284305980559245
V06,V09,0.422514548877027,0.422514548877027
S03,S09,0.42210047545599566,0.42210047545599566
S11,V07,0.4208444741236331,0.4208444741236331
S07,V12,0.42054720246772515,0.42054720246772515
E15,V02,0.4185958302120988,0.4185958302120988
E10,E15,0.4182686580167919,0.4182686580167919
V05,V12,0.4179911150361838,0.4179911150361838
S14,V12,0.4174382425372944,0.4174382425372944
S09,V10,0.4166639941121655,0.4166639941121655
V09,V15,0.4163996106928083,0.4163996106928083
S15,V10,0.41344780386397406,0.41344780386397406
S11,V14,0.4129741383533898,0.4129741383533898
E11,V07,0.41221894824382543,0.41221894824382543
E15,S07,0.41211290018766433,0.41211290018766433
E12,E14,0.4120788570547255,0.4120788570547255
V03,V15,0.4103118790921779,0.4103118790921779
S10,S12,0.409317316450986,0.409317316450986
E15,V15,0.40756750899990707,0.40756750899990707
S06,V07,0.4052720311734418,0.4052720311734418
E11,E15,0.4046992319337703,0.4046992319337703
E03,E10,-0.4045575292667455,0.4045575292667455
S03,S04,0.4038098193875608,0.4038098193875608
S09,V11,0.4037838132611681,0.4037838132611681
S10,V15,0.4022630977826519,0.4022630977826519
E07,S06,0.4021406867919183,0.4021406867919183
S13,V08,0.3975599067128701,0.3975599067128701
S07,V04,0.3971547018964132,0.3971547018964132
S10,V08,0.3968801855863346,0.3968801855863346
E10,S06,0.3963513436153727,0.3963513436153727
T11,S10,0.3960538581330232,0.3960538581330232
S10,S13,0.3958990785773689,0.3958990785773689
S09,V04,0.3954104773407391,0.3954104773407391
S04,S14,0.39435282459279086,0.39435282459279086
E07,S11,0.3941230070451639,0.3941230070451639
V10,V13,0.3940977609497875,0.3940977609497875
V04,V15,0.3940868304381654,0.3940868304381654
E06,S10,0.3939849266435431,0.3939849266435431
S10,V11,0.393068867142299,0.393068867142299
S03,S13,0.3926149195394892,0.3926149195394892
T11,V10,0.39067869188148724,0.39067869188148724
V02,V04,0.38987713815129604,0.38987713815129604
T11,S09,0.38878391446026217,0.38878391446026217
E07,E14,0.3875985262585227,0.3875985262585227
T03,T12,0.3875252401085992,0.3875252401085992
S09,V13,0.3874601487117071,0.3874601487117071
S03,V03,0.38682970798829797,0.38682970798829797
E10,E12,0.3863954012567695,0.3863954012567695
T12,S05,0.38638650433952904,0.38638650433952904
V05,V08,0.38585460610017,0.38585460610017
S01,S02,0.3850244202173145,0.3850244202173145
S07,V02,0.3849208805544028,0.3849208805544028
V12,V13,0.3847658455775051,0.3847658455775051
S14,V07,0.38400773375066255,0.38400773375066255
V06,V08,0.3835679560253855,0.3835679560253855
T06,E12,0.3835436230997992,0.3835436230997992
V04,V05,0.3828358302513778,0.3828358302513778
V01,V11,0.38261593273434863,0.38261593273434863
V12,V15,0.3825463447781864,0.3825463447781864
E11,S06,0.3825341549961386,0.3825341549961386
S09,S12,0.3821395099505851,0.3821395099505851
S14,V15,0.38199853476896184,0.38199853476896184
V04,V10,0.3818503721811468,0.3818503721811468
T06,V15,0.38134237208664,0.38134237208664
E01,E10,0.38093425705244927,0.38093425705244927
S02,S12,0.38056986877419813,0.38056986877419813
S07,S15,0.37987731936908786,0.37987731936908786
E07,S09,0.37943017482159236,0.37943017482159236
S06,V11,0.3792569006322139,0.3792569006322139
V09,V14,0.37907573703776376,0.37907573703776376
S09,V07,0.379014122803935,0.379014122803935
S13,S15,0.37897010446203433,0.37897010446203433
S15,V08,0.37868581253808026,0.37868581253808026
V11,V13,0.37781569353610406,0.37781569353610406
S15,V06,0.37643309417390397,0.37643309417390397
S09,V12,0.37620787749953033,0.37620787749953033
E10,S11,0.3740778535923339,0.3740778535923339
V13,V15,0.3740054600101313,0.3740054600101313
S07,V14,0.3739616748418065,0.3739616748418065
E11,S09,0.37334769220776204,0.37334769220776204
S15,V03,0.3731059907332063,0.3731059907332063
E10,V07,0.37276260979711634,0.37276260979711634
E10,E11,0.3724376827664298,0.3724376827664298
V10,V15,0.37189909895852247,0.37189909895852247
S14,V08,0.3706969771905031,0.3706969771905031
E11,S07,0.36983344183212213,0.36983344183212213
S06,V14,0.36949196446320787,0.36949196446320787
S04,S12,0.36889676362642393,0.36889676362642393
S01,S15,0.3686303697031116,0.3686303697031116
E07,E15,0.3682920928338234,0.3682920928338234
T01,T02,0.3678840265917699,0.3678840265917699
S14,V14,0.3666124317364691,0.3666124317364691
S14,V10,0.3663340933390453,0.3663340933390453
T06,S07,0.36605205479533015,0.36605205479533015
T07,V01,0.3658228282921394,0.3658228282921394
S13,V14,0.3642189217730985,0.3642189217730985
V04,V07,0.3639650294082246,0.3639650294082246
S03,S14,0.3638767551168379,0.3638767551168379
V01,V14,0.3635936306056119,0.3635936306056119
V04,V09,0.36341511422963213,0.36341511422963213
V08,V15,0.3626442623537984,0.3626442623537984
S06,V01,0.3625650040225732,0.3625650040225732
V03,V14,0.3604119124074774,0.3604119124074774
S02,S09,0.3596370099721002,0.3596370099721002
V02,V11,0.35896664051958466,0.35896664051958466
S04,S09,0.3589234005278961,0.3589234005278961
E15,S11,0.3582006769191178,0.3582006769191178
S04,V05,0.3575341947984626,0.3575341947984626
V04,V13,0.3561601200684794,0.3561601200684794
S03,S12,0.35558288518253545,0.35558288518253545
S06,V13,0.35543725517987823,0.35543725517987823
S11,V15,0.355305479257628,0.355305479257628
S06,V12,0.3550423801047298,0.3550423801047298
E12,V15,0.35453952827943175,0.35453952827943175
S13,V04,0.35452797063714986,0.35452797063714986
T06,E14,0.35355172631971227,0.35355172631971227
